wavelength_nm,intensity
166.87181396484374,1.0428e-09
167.0088501,9.9838e-10
167.14589840000002,9.6652e-10
167.2829468,1.0443e-09
167.4199951,1.1157e-09
167.55704350000002,1.1446e-09
167.6940918,1.223e-09
167.8311401,1.279e-09
167.9682007,1.2392e-09
168.10524900000001,1.1904e-09
168.2423096,1.2492e-09
168.37937010000002,1.2656e-09
168.51641850000001,1.2114e-09
168.653479,1.1259e-09
168.7905518,1.1122e-09
168.92761230000002,1.1224e-09
169.0646729,1.1479e-09
169.2017456,1.166e-09
169.3388062,1.1142e-09
169.4758789,1.0718e-09
169.6129517,1.1006e-09
169.7500244,1.0883e-09
169.8870972,1.0768e-09
170.0241699,1.0882e-09
170.1612427,1.1374e-09
170.2983276,1.1297e-09
170.4354004,1.1235e-09
170.5724854,1.1113e-09
170.7095703,1.1076e-09
170.8466553,1.1183e-09
170.9837402,1.101e-09
171.12082519999998,1.1063e-09
171.2579102,1.1232e-09
171.39499510000002,1.1581e-09
171.5320923,1.0968e-09
171.66917719999998,9.5822e-10
171.8062744,8.7886e-10
171.9433716,9.8413e-10
172.0804688,1.0004e-09
172.2175659,9.8112e-10
172.35466309999998,9.6484e-10
172.4917603,1.0097e-09
172.6288574,1.0436e-09
172.7659668,1.0634e-09
172.903064,1.0682e-09
173.0401733,1.0718e-09
173.1772827,1.0912e-09
173.31439210000002,1.114e-09
173.4515015,1.131e-09
173.5886108,1.1233e-09
173.7257202,1.1119e-09
173.8628296,1.0727e-09
173.9999512,1.0662e-09
174.13706050000002,1.0555e-09
174.27418210000002,1.1132e-09
174.41130370000002,1.1491e-09
174.54842530000002,1.1299e-09
174.68554690000002,1.0753e-09
174.82266850000002,1.0839e-09
174.95979,1.0803e-09
175.0969116,1.0191e-09
175.23404539999999,1.0295e-09
175.37116699999999,1.0637e-09
175.5083008,1.117e-09
175.6454224,1.1361e-09
175.7825562,1.0992e-09
175.9196899,1.0728e-09
176.0568237,1.0473e-09
176.1939575,1.0677e-09
176.33110349999998,1.0511e-09
176.4682373,1.0412e-09
176.6053711,1.0383e-09
176.74251710000001,1.0072e-09
176.8796631,1.0224e-09
177.0167969,1.0619e-09
177.1539429,1.0619e-09
177.2910889,1.0697e-09
177.4282349,1.0812e-09
177.5653931,1.0672e-09
177.7025391,1.0628e-09
177.8396851,1.0604e-09
177.97684329999998,1.0504e-09
178.11398930000001,1.0272e-09
178.2511475,1.0267e-09
178.3883057,1.0248e-09
178.5254639,1.0204e-09
178.6626221,1.0311e-09
178.7997803,1.0118e-09
178.9369385,1.0032e-09
179.07409669999998,9.8058e-10
179.21126710000001,9.6375e-10
179.3484253,9.7628e-10
179.4855957,1.0054e-09
179.6227539,1.0095e-09
