wavelength_nm,intensity
900.452,1.24753875e-17
901.354,1.6883625e-17
902.258,1.7935861e-17
903.163,1.8374294e-17
904.068,1.8796783e-17
904.974,1.9314929e-17
905.882,1.9841047e-17
906.79,2.0343253e-17
907.699,2.08614e-17
908.609,2.1387519e-17
909.52,2.1921608e-17
910.431,2.2479613e-17
911.344,2.3077474e-17
912.258,2.3890566e-17
913.172,2.6138527e-17
914.088,4.748619e-17
915.004,3.6636986e-16
915.921,2.369925e-15
916.84,6.8985307e-15
917.759,1.1606496e-14
918.679,1.5480642e-14
919.6,1.9538133e-14
920.522,2.2391926e-14
921.445,2.6425502e-14
922.368,2.923147e-14
923.293,3.1519285e-14
924.219,4.6338293e-14
925.145,4.7023844e-14
926.073,3.6445673e-14
927.001,5.090596e-14
927.93,7.560165e-14
928.86,7.8351815e-14
929.792,5.6860664e-14
930.724,4.024807e-14
931.657,6.071089e-14
932.591,9.462163e-14
933.526,1.1598524e-13
934.462,1.2244215e-13
935.398,1.1399237e-13
936.336,8.7527004e-14
937.275,5.391121e-14
938.214,5.3632212e-14
939.155,9.278819e-14
940.096,1.2953678e-13
941.039,1.5018295e-13
941.982,1.627779e-13
942.927,1.6971311e-13
943.872,1.7194513e-13
944.818,1.6301706e-13
945.765,1.5663985e-13
946.714,1.5998788e-13
947.663,1.4484205e-13
948.613,1.0115826e-13
949.564,6.3317576e-14
950.516,8.85633e-14
951.468,1.488278e-13
952.422,1.8844611e-13
953.377,2.0965029e-13
954.333,2.3284735e-13
955.29,2.566821e-13
956.247,2.7772684e-13
957.206,2.9366985e-13
958.166,2.9869187e-13
959.126,3.0060503e-13
960.088,2.9948903e-13
961.05,3.057068e-13
962.014,3.1335945e-13
962.978,3.111274e-13
963.943,2.9542357e-13
964.91,2.9470613e-13
965.877,3.218092e-13
966.845,3.4070164e-13
967.815,3.3942621e-13
968.785,3.2316437e-13
969.756,2.869738e-13
970.728,2.2081038e-13
971.701,1.3041364e-13
972.675,9.12736e-14
973.651,1.57995e-13
974.627,2.5859526e-13
975.604,3.3328817e-13
976.582,3.793634e-13
977.561,4.023213e-13
978.541,4.1698884e-13
979.522,4.3149696e-13
980.504,4.4034532e-13
981.487,4.454471e-13
982.471,4.5485344e-13
983.456,4.6370183e-13
984.442,4.5963634e-13
985.428,4.621872e-13
986.416,4.763765e-13
987.405,4.6186834e-13
988.395,4.2806923e-13
989.386,3.9849496e-13
990.378,3.9411066e-13
991.371,4.4034532e-13
992.365,4.770939e-13
993.359,4.8849314e-13
994.355,4.652961e-13
995.352,4.6999926e-13
996.35,4.9702267e-13
997.349,5.085016e-13
998.349,5.189442e-13
999.349,5.3042325e-13
1000.351,5.463662e-13
1001.354,5.6414265e-13
1002.358,5.775347e-13
1003.363,5.887745e-13
1004.369,5.933183e-13
1005.376,5.93398e-13
1006.384,5.9284e-13
1007.392,5.974635e-13
1008.402,6.057538e-13
1009.413,6.11573e-13
1010.425,6.2456653e-13
1011.438,6.3636433e-13
1012.452,6.413864e-13
1013.467,6.5230736e-13
1014.483,6.601194e-13
1015.5,6.7080125e-13
1016.518,6.902517e-13
1017.537,6.963897e-13
1018.557,6.8873704e-13
1019.578,6.7670007e-13
1020.601,6.5669166e-13
1021.624,6.2759574e-13
1022.648,5.58722e-13
1023.673,4.2719235e-13
1024.699,2.5173976e-13
1025.727,1.536904e-13
1026.755,2.5445008e-13
1027.784,4.3914958e-13
1028.815,5.9634746e-13
1029.846,7.054772e-13
1030.878,7.6566195e-13
1031.912,8.099038e-13
1032.946,8.5055845e-13
1033.982,8.7447286e-13
1035.018,8.728786e-13
1036.056,8.2584677e-13
1037.095,8.2345534e-13
1038.134,9.055617e-13
1039.175,9.589706e-13
1040.217,9.804937e-13
1041.26,9.972339e-13
1042.303,1.0012196e-12
1043.348,9.996254e-13
1044.394,1.0155684e-12
1045.441,1.0378884e-12
1046.489,1.0578172e-12
1047.539,1.0626002e-12
1048.589,1.0697745e-12
1049.64,1.104052e-12
1050.692,1.1287635e-12
1051.745,1.136735e-12
1052.8,1.1486923e-12
1053.855,1.168621e-12
1054.912,1.184564e-12
1055.969,1.2092756e-12
1057.028,1.237973e-12
1058.088,1.2555102e-12
1059.148,1.2523217e-12
1060.21,1.2579018e-12
1061.273,1.2865991e-12
1062.337,1.2818162e-12
1063.402,1.2730475e-12
1064.468,1.3105135e-12
1065.535,1.3200794e-12
1066.603,1.3057307e-12
1067.673,1.3041365e-12
1068.743,1.3312395e-12
1069.814,1.39262e-12
1070.887,1.4332746e-12
1071.96,1.4508119e-12
1073.035,1.4579863e-12
1074.111,1.4826979e-12
1075.188,1.5121924e-12
1076.266,1.5424841e-12
1077.344,1.5839359e-12
1078.424,1.6158218e-12
1079.505,1.6453164e-12
1080.588,1.6708252e-12
1081.671,1.6787966e-12
1082.755,1.6779994e-12
1083.841,1.6453164e-12
1084.927,1.6325619e-12
1086.015,1.7027111e-12
1087.104,1.7935861e-12
1088.194,1.8294578e-12
1089.285,1.8485894e-12
1090.377,1.8541694e-12
1091.47,1.8709095e-12
1092.564,1.9187386e-12
1093.659,1.9593932e-12
1094.756,1.9570016e-12
1095.853,1.8709095e-12
1096.952,1.7832232e-12
1098.051,1.8390235e-12
1099.152,1.9330874e-12
1100.254,2.0598339e-12
1101.357,2.2535413e-12
1102.461,2.4456544e-12
1103.566,2.624216e-12
1104.673,2.763717e-12
1105.78,2.9598158e-12
1106.889,3.3368672e-12
1107.998,4.35961e-12
1109.109,7.56973e-12
