wavelength_nm,intensity
900.452,1.2381053e-17
901.354,1.6755956e-17
902.258,1.7800237e-17
903.163,1.8235354e-17
904.068,1.8654648e-17
904.974,1.9168877e-17
905.882,1.9691016e-17
906.79,2.0189424e-17
907.699,2.0703654e-17
908.609,2.1225794e-17
909.52,2.1755844e-17
910.431,2.230963e-17
911.344,2.290297e-17
912.258,2.3709915e-17
913.172,2.5940877e-17
914.088,4.7127117e-17
915.004,3.635995e-16
915.921,2.3520045e-15
916.84,6.8463666e-15
917.759,1.1518732e-14
918.679,1.5363582e-14
919.6,1.9390392e-14
920.522,2.2222606e-14
921.445,2.6225682e-14
922.368,2.901043e-14
923.293,3.1280947e-14
924.219,4.59879e-14
925.145,4.6668266e-14
926.073,3.6170082e-14
927.001,5.0521026e-14
927.93,7.5029975e-14
928.86,7.7759346e-14
929.792,5.6430704e-14
930.724,3.994373e-14
931.657,6.025182e-14
932.591,9.390614e-14
933.526,1.151082e-13
934.462,1.2151628e-13
935.398,1.1313039e-13
936.336,8.686515e-14
937.275,5.3503554e-14
938.214,5.3226663e-14
939.155,9.2086556e-14
940.096,1.2855727e-13
941.039,1.4904732e-13
941.982,1.6154703e-13
942.927,1.6842979e-13
943.872,1.7064494e-13
944.818,1.6178438e-13
945.765,1.554554e-13
946.714,1.5877811e-13
947.663,1.437468e-13
948.613,1.0039333e-13
949.564,6.283879e-14
950.516,8.7893614e-14
951.468,1.4770241e-13
952.422,1.8702115e-13
953.377,2.0806498e-13
954.333,2.3108663e-13
955.29,2.5474116e-13
956.247,2.7562677e-13
957.206,2.914492e-13
958.166,2.9643326e-13
959.126,2.9833197e-13
960.088,2.972244e-13
961.05,3.0339514e-13
962.014,3.1098992e-13
962.978,3.0877476e-13
963.943,2.9318968e-13
964.91,2.9247766e-13
965.877,3.193758e-13
966.845,3.381254e-13
967.815,3.3685958e-13
968.785,3.2072072e-13
969.756,2.8480378e-13
970.728,2.1914069e-13
971.701,1.294275e-13
972.675,9.0583425e-14
973.651,1.568003e-13
974.627,2.5663984e-13
975.604,3.3076797e-13
976.582,3.764948e-13
977.561,3.9927908e-13
978.541,4.1383571e-13
979.522,4.2823414e-13
980.504,4.3701558e-13
981.487,4.4207877e-13
982.471,4.51414e-13
983.456,4.6019547e-13
984.442,4.561607e-13
985.428,4.5869233e-13
986.416,4.7277427e-13
987.405,4.5837585e-13
988.395,4.2483232e-13
989.386,3.954817e-13
990.378,3.9113054e-13
991.371,4.3701558e-13
992.365,4.7348627e-13
993.359,4.847993e-13
994.355,4.617777e-13
995.352,4.664453e-13
996.35,4.9326434e-13
997.349,5.046565e-13
998.349,5.1502016e-13
999.349,5.2641236e-13
1000.351,5.4223477e-13
1001.354,5.598768e-13
1002.358,5.731676e-13
1003.363,5.843224e-13
1004.369,5.888318e-13
1005.376,5.889109e-13
1006.384,5.8835716e-13
1007.392,5.9294567e-13
1008.402,6.011733e-13
1009.413,6.069485e-13
1010.425,6.198438e-13
1011.438,6.315524e-13
1012.452,6.3653645e-13
1013.467,6.4737484e-13
1014.483,6.551278e-13
1015.5,6.6572887e-13
1016.518,6.850322e-13
1017.537,6.9112386e-13
1018.557,6.835291e-13
1019.578,6.715831e-13
1020.601,6.51726e-13
1021.624,6.228501e-13
1022.648,5.5449715e-13
1023.673,4.2396208e-13
1024.699,2.498362e-13
1025.727,1.5252825e-13
1026.755,2.5252603e-13
1027.784,4.358289e-13
1028.815,5.918381e-13
1029.846,7.0014263e-13
1030.878,7.598723e-13
1031.912,8.0377957e-13
1032.946,8.441268e-13
1033.982,8.678604e-13
1035.018,8.662782e-13
1036.056,8.19602e-13
1037.095,8.1722866e-13
1038.134,8.9871415e-13
1039.175,9.517193e-13
1040.217,9.730796e-13
1041.26,9.896931e-13
1042.303,9.936487e-13
1043.348,9.920666e-13
1044.394,1.007889e-12
1045.441,1.0300403e-12
1046.489,1.0498184e-12
1047.539,1.0545652e-12
1048.589,1.0616852e-12
1049.64,1.0957035e-12
1050.692,1.1202283e-12
1051.745,1.1281395e-12
1052.8,1.1400063e-12
1053.855,1.1597843e-12
1054.912,1.1756067e-12
1055.969,1.2001315e-12
1057.028,1.2286119e-12
1058.088,1.2460165e-12
1059.148,1.2428521e-12
1060.21,1.24839e-12
1061.273,1.2768703e-12
1062.337,1.2721236e-12
1063.402,1.2634212e-12
1064.468,1.3006039e-12
1065.535,1.3100974e-12
1066.603,1.2958572e-12
1067.673,1.294275e-12
1068.743,1.3211731e-12
1069.814,1.3820894e-12
1070.887,1.4224367e-12
1071.96,1.4398414e-12
1073.035,1.4469615e-12
1074.111,1.4714862e-12
1075.188,1.5007577e-12
1076.266,1.5308204e-12
1077.344,1.5719587e-12
1078.424,1.6036035e-12
1079.505,1.632875e-12
1080.588,1.6581909e-12
1081.671,1.6661022e-12
1082.755,1.665311e-12
1083.841,1.632875e-12
1084.927,1.6202171e-12
1086.015,1.6898358e-12
1087.104,1.7800236e-12
1088.194,1.8156241e-12
1089.285,1.834611e-12
1090.377,1.840149e-12
1091.47,1.8567624e-12
1092.564,1.9042298e-12
1093.659,1.9445769e-12
1094.756,1.9422036e-12
1095.853,1.8567624e-12
1096.952,1.7697391e-12
1098.051,1.8251175e-12
1099.152,1.91847e-12
1100.254,2.0442582e-12
1101.357,2.236501e-12
1102.461,2.4271611e-12
1103.566,2.6043724e-12
1104.673,2.7428188e-12
1105.78,2.9374346e-12
1106.889,3.311635e-12
1107.998,4.326644e-12
1109.109,7.512491e-12
1110.221,1.4793975e-11
1111.334,2.3179864e-11
1112.448,3.2831547e-11
1113.563,3.7427964e-11
1114.68,4.600372e-11
1115.797,8.148553e-11
1116.916,8.2197534e-11
1118.035,7.950773e-11
1119.156,1.132095e-10
1120.278,1.1020324e-10
1121.401,7.1643975e-11
1122.526,6.953959e-11
1123.651,1.2784525e-10
1124.777,1.5759143e-10
1125.905,1.6107236e-10
1127.034,1.3369955e-10
