wavelength_nm,intensity
900.4520263671875,1.2490577e-17
901.354,1.690418e-17
902.258,1.7957699e-17
903.163,1.8396666e-17
904.068,1.8819668e-17
904.974,1.9338445e-17
905.882,1.9865204e-17
906.79,2.036802e-17
907.699,2.08868e-17
908.609,2.1413559e-17
909.52,2.1948298e-17
910.431,2.2506982e-17
911.344,2.3105572e-17
912.258,2.3919655e-17
913.172,2.6170352e-17
914.088,4.7544006e-17
915.004,3.6681593e-16
915.921,2.3728105e-15
916.84,6.90693e-15
917.759,1.1620627e-14
918.679,1.549949e-14
919.6,1.9561921e-14
920.522,2.2419188e-14
921.445,2.6457676e-14
922.368,2.926706e-14
923.293,3.155766e-14
924.219,4.6394712e-14
925.145,4.7081096e-14
926.073,3.6490044e-14
927.001,5.0967938e-14
927.93,7.56937e-14
928.86,7.844721e-14
929.792,5.692989e-14
930.724,4.0297074e-14
931.657,6.078481e-14
932.591,9.473684e-14
933.526,1.1612646e-13
934.462,1.2259121e-13
935.398,1.1413114e-13
936.336,8.763357e-14
937.275,5.397685e-14
938.214,5.3697508e-14
939.155,9.290116e-14
940.096,1.296945e-13
941.039,1.503658e-13
941.982,1.6297609e-13
942.927,1.6991973e-13
943.872,1.7215447e-13
944.818,1.6321554e-13
945.765,1.5683056e-13
946.714,1.6018267e-13
947.663,1.450184e-13
948.613,1.0128142e-13
949.564,6.339467e-14
950.516,8.867113e-14
951.468,1.4900899e-13
952.422,1.8867555e-13
953.377,2.0990554e-13
954.333,2.3313084e-13
955.29,2.5699462e-13
956.247,2.7806498e-13
957.206,2.940274e-13
958.166,2.9905554e-13
959.126,3.0097103e-13
960.088,2.9985367e-13
961.05,3.06079e-13
962.014,3.1374095e-13
962.978,3.115062e-13
963.943,2.9578325e-13
964.91,2.9506494e-13
965.877,3.22201e-13
966.845,3.4111646e-13
967.815,3.3983946e-13
968.785,3.2355783e-13
969.756,2.8732317e-13
970.728,2.2107922e-13
971.701,1.3057242e-13
972.675,9.138473e-14
973.651,1.5818736e-13
974.627,2.5891008e-13
975.604,3.3369396e-13
976.582,3.798253e-13
977.561,4.0281114e-13
978.541,4.1749652e-13
979.522,4.3202234e-13
980.504,4.4088144e-13
981.487,4.4598944e-13
982.471,4.5540725e-13
983.456,4.642664e-13
984.442,4.6019595e-13
985.428,4.6274996e-13
986.416,4.769565e-13
987.405,4.6243066e-13
988.395,4.285904e-13
989.386,3.9898014e-13
990.378,3.945905e-13
991.371,4.4088144e-13
992.365,4.7767476e-13
993.359,4.890879e-13
994.355,4.658626e-13
995.352,4.705715e-13
996.35,4.9762776e-13
997.349,5.091207e-13
998.349,5.195761e-13
999.349,5.3106906e-13
1000.351,5.470314e-13
1001.354,5.648295e-13
1002.358,5.7823787e-13
1003.363,5.8949135e-13
1004.369,5.9404066e-13
1005.376,5.9412046e-13
1006.384,5.935618e-13
1007.392,5.9819093e-13
1008.402,6.064913e-13
1009.413,6.1231765e-13
1010.425,6.25327e-13
1011.438,6.371391e-13
1012.452,6.421673e-13
1013.467,6.5310154e-13
1014.483,6.609231e-13
1015.5,6.716179e-13
1016.518,6.9109204e-13
1017.537,6.9723757e-13
1018.557,6.895756e-13
1019.578,6.77524e-13
1020.601,6.574912e-13
1021.624,6.2835983e-13
1022.648,5.5940224e-13
1023.673,4.2771247e-13
1024.699,2.5204627e-13
1025.727,1.5387752e-13
1026.755,2.547599e-13
1027.784,4.3968426e-13
1028.815,5.9707355e-13
1029.846,7.0633614e-13
1030.878,7.665942e-13
1031.912,8.108899e-13
1032.946,8.51594e-13
1033.982,8.7553754e-13
1035.018,8.7394133e-13
1036.056,8.268522e-13
1037.095,8.244579e-13
1038.134,9.0666423e-13
1039.175,9.601382e-13
1040.217,9.816875e-13
1041.26,9.984481e-13
1042.303,1.0024386e-12
1043.348,1.0008424e-12
1044.394,1.0168048e-12
1045.441,1.0391521e-12
1046.489,1.0591052e-12
1047.539,1.063894e-12
1048.589,1.0710769e-12
1049.64,1.1053962e-12
1050.692,1.1301379e-12
1051.745,1.1381191e-12
1052.8,1.1500909e-12
1053.855,1.1700438e-12
1054.912,1.1860062e-12
1055.969,1.210748e-12
1057.028,1.2394803e-12
1058.088,1.2570389e-12
1059.148,1.2538464e-12
1060.21,1.2594333e-12
1061.273,1.2881655e-12
1062.337,1.2833768e-12
1063.402,1.2745975e-12
1064.468,1.3121092e-12
1065.535,1.3216866e-12
1066.603,1.3073205e-12
1067.673,1.3057242e-12
1068.743,1.3328603e-12
1069.814,1.3943154e-12
1070.887,1.4350196e-12
1071.96,1.4525783e-12
1073.035,1.4597615e-12
1074.111,1.4845031e-12
1075.188,1.5140335e-12
1076.266,1.5443622e-12
1077.344,1.5858644e-12
1078.424,1.6177891e-12
1079.505,1.6473195e-12
1080.588,1.6728593e-12
1081.671,1.6808407e-12
1082.755,1.6800424e-12
1083.841,1.6473195e-12
1084.927,1.6345496e-12
1086.015,1.7047842e-12
1087.104,1.7957698e-12
1088.194,1.8316852e-12
1089.285,1.85084e-12
1090.377,1.856427e-12
1091.47,1.8731874e-12
1092.564,1.9210746e-12
1093.659,1.9617788e-12
1094.756,1.9593845e-12
1095.853,1.8731874e-12
1096.952,1.7853943e-12
1098.051,1.8412626e-12
1099.152,1.9354407e-12
1100.254,2.0623418e-12
1101.357,2.2562852e-12
1102.461,2.448632e-12
1103.566,2.6274109e-12
1104.673,2.767082e-12
1105.78,2.9634192e-12
1106.889,3.34093e-12
1107.998,4.3649177e-12
1109.109,7.578946e-12
1110.221,1.4924843e-11
1111.334,2.3384914e-11
1112.448,3.3121977e-11
1113.563,3.7759053e-11
1114.68,4.6410674e-11
1115.797,8.220635e-11
1116.916,8.292466e-11
1118.035,8.021106e-11
1119.156,1.1421096e-10
1120.278,1.111781e-10
1121.401,7.227774e-11
1122.526,7.015474e-11
1123.651,1.2897618e-10
1124.777,1.5898549e-10
1125.905,1.6249721e-10
1127.034,1.3488226e-10
1128.164,8.276504e-11
1129.295,5.988294e-11
1130.427,9.737063e-11
1131.56,1.4661462e-10
1132.694,1.5196204e-10
1133.83,1.3336583e-10
1134.966,1.4653483e-10
1136.104,1.8149246e-10
1137.243,1.7790093e-10
1138.383,1.2642219e-10
1139.525,7.010685e-11
1140.667,7.3866e-11
1141.81,1.0463352e-10
1142.955,1.07506753e-10
1144.101,1.1149735e-10
1145.248,1.4541746e-10
1146.396,1.5515453e-10
1147.545,1.4749256e-10
1148.696,1.597836e-10
1149.847,1.7023898e-10
1151.0,1.697601e-10
1152.199951171875,1.609197e-10
1153.4000244140625,2.2088115e-10
1156.9000244140625,3.269519e-10
1158.0999755859375,3.818491e-10
1159.300048828125,2.0510635e-10
1160.4000244140625,1.1161012e-10
1161.5999755859375,2.1520434e-10
1162.800048828125,2.5317579e-10
1164.0,1.2391031e-10
1165.199951171875,4.2229956e-11
1169.9000244140625,4.0521267e-11
1171.0999755859375,6.459585e-11
1172.199951171875,1.5844877e-11
1173.4000244140625,6.616818e-11
1174.5999755859375,1.0960927e-10
1175.800048828125,5.4408096e-11
1185.199951171875,2.0001152e-11
1198.199951171875,1.1780261e-11
1199.4000244140625,2.2808644e-11
1201.699951171875,0.0
1202.9000244140625,0.0
1204.0999755859375,0.0
1205.300048828125,0.0
1206.5,0.0
1207.5999755859375,0.0
1208.800048828125,0.0
1210.0,0.0
1211.199951171875,0.0
1212.4000244140625,0.0
1213.5,0.0
1214.699951171875,0.0
1215.9000244140625,0.0
1217.0999755859375,0.0
1218.300048828125,0.0
1219.4000244140625,0.0
1220.5999755859375,0.0
1221.800048828125,0.0
1223.0,0.0
1224.199951171875,0.0
1225.300048828125,0.0
1226.5,0.0
1227.699951171875,0.0
1228.9000244140625,0.0
1230.0,2.803084e-11
1231.199951171875,3.6817046e-11
1232.4000244140625,6.341288e-11
1233.5999755859375,5.2521022e-11
1234.800048828125,5.5092483e-11
1235.9000244140625,3.515034e-11
1237.0999755859375,3.089509e-11
1238.300048828125,8.22567e-11
1239.5,1.1158906e-10
1240.699951171875,8.200625e-11
1241.800048828125,1.2843467e-10
1243.0,1.5793838e-10
1244.199951171875,7.988941e-11
1245.4000244140625,5.4741392e-11
1246.5999755859375,7.353641e-11
1247.699951171875,9.033697e-11
1248.9000244140625,1.11362e-10
1250.0999755859375,1.7146756e-10
1251.300048828125,2.0557106e-10
1252.5,2.2242289e-10
1253.5999755859375,2.4929364e-10
1254.800048828125,2.697389e-10
1256.0,3.0103436e-10
1257.199951171875,3.0163227e-10
1258.4000244140625,3.0815758e-10
1259.5,2.9623795e-10
1260.699951171875,3.3561987e-10
1261.9000244140625,5.4094235e-10
1263.0999755859375,5.804433e-10
1264.300048828125,5.4001964e-10
1265.4000244140625,6.383982e-10
1266.5999755859375,7.429106e-10
1267.800048828125,1.0164454e-09
1269.0,1.2068389e-09
1270.199951171875,1.1893154e-09
1271.300048828125,1.2434713e-09
1272.5,1.193112e-09
1273.699951171875,1.0792641e-09
1274.9000244140625,1.038136e-09
1276.0999755859375,1.1219082e-09
1277.199951171875,1.3162196e-09
1278.4000244140625,1.521745e-09
1279.5999755859375,1.7733128e-09
1280.800048828125,2.0596937e-09
1282.0,2.2581526e-09
1283.0999755859375,2.3748694e-09
1284.300048828125,2.3044862e-09
1285.5,2.1267852e-09
1286.699951171875,2.0761244e-09
1287.9000244140625,2.0757993e-09
1289.0,2.2784383e-09
1290.199951171875,2.5030726e-09
1291.4000244140625,2.6881783e-09
1292.5999755859375,2.8809235e-09
1293.800048828125,2.970423e-09
1294.9000244140625,3.031265e-09
1296.0999755859375,3.0123468e-09
1297.300048828125,2.9369216e-09
1298.5,2.7862441e-09
1299.699951171875,2.5786244e-09
1300.800048828125,2.1669695e-09
1302.0,1.941874e-09
1303.199951171875,1.9544293e-09
1304.4000244140625,1.9929844e-09
1305.5999755859375,1.98811e-09
1306.699951171875,2.0672193e-09
1307.9000244140625,2.1249436e-09
1309.0999755859375,2.1245516e-09
1310.300048828125,2.3505067e-09
1311.5,2.738976e-09
1312.5999755859375,3.198257e-09
1313.800048828125,3.6393004e-09
1315.0,3.953755e-09
1316.199951171875,4.0602517e-09
1317.300048828125,4.130886e-09
1318.5,4.2718e-09
1319.699951171875,4.3815827e-09
1320.9000244140625,4.378774e-09
1322.0999755859375,4.274487e-09
1323.199951171875,4.27321e-09
1324.4000244140625,4.1059804e-09
1325.5999755859375,4.1040567e-09
1326.800048828125,4.1319876e-09
1328.0,4.1291455e-09
1329.0999755859375,4.055304e-09
1330.300048828125,4.170066e-09
1331.5,3.8460164e-09
1332.699951171875,3.4994496e-09
1333.9000244140625,3.3656526e-09
1335.0,3.6680745e-09
