wavelength_nm,intensity
900.452,1.2540563e-17
901.354,1.6971829e-17
902.258,1.8029563e-17
903.163,1.8470286e-17
904.068,1.8894982e-17
904.974,1.9415836e-17
905.882,1.9944703e-17
906.79,2.0449531e-17
907.699,2.0970385e-17
908.609,2.1499253e-17
909.52,2.2036133e-17
910.431,2.2597052e-17
911.344,2.3198037e-17
912.258,2.4015378e-17
913.172,2.6275083e-17
914.088,4.773427e-17
915.004,3.6828386e-16
915.921,2.3823062e-15
916.84,6.9345706e-15
917.759,1.1667131e-14
918.679,1.5561517e-14
919.6,1.9640204e-14
920.522,2.2508908e-14
921.445,2.6563556e-14
922.368,2.9384183e-14
923.293,3.1683952e-14
924.219,4.6580378e-14
925.145,4.7269507e-14
926.073,3.6636072e-14
927.001,5.1171906e-14
927.93,7.599661e-14
928.86,7.876114e-14
929.792,5.715772e-14
930.724,4.045834e-14
931.657,6.1028067e-14
932.591,9.511596e-14
933.526,1.1659117e-13
934.462,1.2308182e-13
935.398,1.1458789e-13
936.336,8.798427e-14
937.275,5.419286e-14
938.214,5.39124e-14
939.155,9.327294e-14
940.097,1.3021351e-13
941.039,1.5096754e-13
941.982,1.6362831e-13
942.927,1.7059973e-13
943.872,1.7284342e-13
944.818,1.638687e-13
945.765,1.5745818e-13
946.714,1.608237e-13
947.663,1.4559874e-13
948.613,1.0168673e-13
949.564,6.3648366e-14
950.516,8.9025975e-14
951.468,1.496053e-13
952.422,1.8943061e-13
953.377,2.1074556e-13
954.333,2.340638e-13
955.29,2.5802307e-13
956.247,2.7917778e-13
957.206,2.9520405e-13
958.166,3.0025234e-13
959.126,3.0217547e-13
960.088,3.0105364e-13
961.05,3.0730388e-13
962.014,3.149965e-13
962.978,3.127528e-13
963.943,2.9696693e-13
964.91,2.9624575e-13
965.877,3.2349042e-13
966.845,3.4248158e-13
967.815,3.4119945e-13
968.785,3.2485267e-13
969.756,2.8847302e-13
970.728,2.2196395e-13
971.701,1.3109495e-13
972.675,9.1750446e-14
973.651,1.5882041e-13
974.627,2.5994623e-13
975.604,3.3502934e-13
976.582,3.813453e-13
977.561,4.0442313e-13
978.541,4.191673e-13
979.522,4.3375123e-13
