wavelength_nm,intensity
200.75873,7.5978e-10
200.89604,7.3665e-10
201.03336,7.0764e-10
201.17067,7.2869e-10
201.30798,7.3274e-10
201.4453,7.3481e-10
201.58261,7.4055e-10
201.71994,7.3419e-10
201.85727,7.4249e-10
201.99458,7.4815e-10
202.1319,7.5136e-10
202.26921,7.4064e-10
202.40654,7.234e-10
202.54385,7.0146e-10
202.68118,6.9186e-10
202.81851,7.0942e-10
202.95584,7.286e-10
203.09315,7.3193e-10
203.23048,7.3428e-10
203.36781,7.3553e-10
203.50513,7.2271e-10
203.64246,7.1491e-10
203.77979,7.1168e-10
203.91711,7.0788e-10
204.05444,7.0403e-10
204.19177,7.1405e-10
204.3291,7.1465e-10
204.46643,7.0402e-10
204.60378,6.969e-10
204.7411,7.0064e-10
204.87845,7.0166e-10
205.01578,6.967e-10
205.1531,6.8744e-10
205.29044,6.7857e-10
205.42776,6.7756e-10
205.56511,6.7748e-10
205.70244,6.6695e-10
205.83977,6.658e-10
205.97713,6.6427e-10
206.11446,6.5899e-10
206.25179,6.3889e-10
206.38913,6.5598e-10
206.52646,6.548e-10
206.66382,6.5443e-10
206.80115,6.334e-10
206.9385,6.4111e-10
207.07584,6.5744e-10
207.21318,6.6988e-10
207.35051,6.7634e-10
207.48787,6.7459e-10
207.62521,6.69e-10
207.76254,6.6172e-10
207.8999,6.4026e-10
208.03726,6.4125e-10
208.17459,6.5226e-10
208.31194,6.548e-10
208.4493,6.4525e-10
208.58664,6.4527e-10
208.724,6.4542e-10
208.86133,6.3918e-10
208.99869,6.2712e-10
209.13603,6.2144e-10
209.27339,6.1961e-10
209.41074,6.3443e-10
209.5481,6.4096e-10
209.68546,6.2975e-10
209.8228,6.0973e-10
209.96016,6.1768e-10
210.0975,6.2551e-10
210.23486,6.1846e-10
210.37222,6.0099e-10
210.50957,6.103e-10
210.64693,6.2116e-10
210.78427,6.1439e-10
210.92163,6.193e-10
211.05899,6.2803e-10
211.19633,6.3114e-10
211.33371,6.2794e-10
211.47107,6.2155e-10
211.60843,6.1425e-10
211.74577,6.1415e-10
211.88313,6.1945e-10
212.02051,6.1207e-10
212.15787,6.0761e-10
212.29521,6.1025e-10
212.43259,5.9919e-10
212.56995,5.9378e-10
212.7073,5.9743e-10
212.84468,5.9405e-10
212.98203,6.0762e-10
213.11942,6.1122e-10
213.25676,6.0393e-10
213.39412,5.9492e-10
213.5315,5.8234e-10
213.66885,5.8444e-10
213.80623,5.966e-10
213.94357,6.0256e-10
214.08096,6.021e-10
214.2183,6.0423e-10
214.35568,5.963e-10
214.49307,5.8742e-10
214.63042,5.8096e-10
214.76779,5.7078e-10
214.90515,5.6197e-10
215.04253,5.6166e-10
215.1799,5.7384e-10
215.31726,5.8485e-10
215.45464,5.9052e-10
215.59201,5.9348e-10
215.72937,5.927e-10
215.86674,5.8552e-10
216.00412,5.7472e-10
216.14151,5.6776e-10
216.27885,5.5126e-10
216.41623,5.306e-10
216.55362,5.34e-10
216.691,5.4762e-10
216.82837,5.6497e-10
216.96574,5.7863e-10
217.1031,5.7787e-10
217.24048,5.7912e-10
217.37785,5.7308e-10
217.51523,5.6904e-10
217.65262,5.7391e-10
217.79,5.6901e-10
217.92737,5.6926e-10
218.06474,5.6879e-10
218.20212,5.6407e-10
218.33951,5.6619e-10
218.47688,5.5722e-10
218.61426,5.3994e-10
218.75163,5.2292e-10
218.889,5.4033e-10
219.0264,5.5354e-10
219.16377,5.6239e-10
219.30115,5.6483e-10
219.43852,5.6508e-10
219.5759,5.6518e-10
219.71329,5.6644e-10
219.85066,5.6336e-10
219.98804,5.6178e-10
220.12541,5.5883e-10
220.26279,5.5904e-10
220.40019,5.5736e-10
220.53757,5.5772e-10
220.67496,5.5819e-10
220.81233,5.5639e-10
220.9497,5.5351e-10
221.08708,5.5054e-10
221.22449,5.4306e-10
221.36186,5.271e-10
221.49924,5.1396e-10
221.63663,5.0965e-10
221.774,5.3307e-10
221.9114,5.4213e-10
222.04878,5.4629e-10
222.18616,5.4948e-10
222.32353,5.4964e-10
222.46094,5.4745e-10
222.59831,5.4885e-10
222.73569,5.4766e-10
222.8731,5.4559e-10
223.01047,5.4579e-10
223.14786,5.4388e-10
223.28523,5.4529e-10
223.42264,5.4576e-10
223.56001,5.4344e-10
223.69739,5.4309e-10
223.8348,5.407e-10
223.97217,5.4062e-10
224.10954,5.4124e-10
224.24695,5.4076e-10
224.38432,5.3724e-10
224.52173,5.3549e-10
224.6591,5.3758e-10
224.79648,5.3037e-10
224.93388,5.1941e-10
225.07126,5.1506e-10
225.20866,4.9638e-10
225.34604,4.7731e-10
225.48343,5.0068e-10
225.62082,5.2349e-10
225.75821,5.279e-10
225.8956,5.3055e-10
226.03299,5.2677e-10
226.17038,5.2903e-10
226.30777,5.2858e-10
226.44514,5.3224e-10
226.58255,5.3378e-10
226.71992,5.2998e-10
226.85733,5.3234e-10
226.9947,5.2691e-10
227.13211,5.1103e-10
227.26949,5.1463e-10
227.40689,5.1934e-10
227.54427,5.287e-10
227.68167,5.2849e-10
227.81905,5.2839e-10
227.95645,5.2738e-10
228.09383,5.2731e-10
228.23123,5.2972e-10
